"","hospital","estimate"
"1","10001",0.0624465658397769
"2","10002",0.94960374396274
"3","10008",-0.000329613181779092
"4","10009",-0.00074912677931972
"5","10016",0.120208728472949
"6","10018",4.68671632945234e-06
"7","10020",-0.000355832781597487
"8","10022",-0.0452899889638792
"9","10024",-0.108379056737458
"10","10026",-0.00122107957665617
"11","10030",-0.0612031247678093
"12","10033",-0.000362387681573359
"13","10036",0.0570715478703845
"14","10037",0.0229532190072532
"15","10038",-0.0494326857403184
"16","10040",-0.0639055794507059
"17","10043",-0.0269728639931761
"18","10044",-0.0466140787563571
"19","10045",0.0275096067054666
"20","10051",0.0205231745037018
"21","10052",-0.0603509877726571
"22","10059",-0.0656875009867867
"23","10060",-0.000801565979082961
"24","10065",-0.116080794984529
"25","10074",0.0623841404832005
"26","10075",-0.00201422247217636
"27","10077",-0.120144832961369
"28","10078",-0.0027811457678349
"29","10085",-0.0663749408384247
"30","10087",0.0553507378557881
"31","10088",0.0925113287815541
"32","10097",-0.0735064027887037
"33","10099",-0.0618455049642189
"34","10102",-0.0683633518935248
"35","10104",-0.0163630973517906
"36","10105",-0.0643035924502048
"37","10117",-0.114284752394734
"38","10119",0.0882844991814741
"39","10122",-0.0230739921630972
"40","10125",-0.0443198637693512
"41","10128",-0.0676597012310837
"42","10129",0.0135008622127273
"43","10133",-0.106183165249904
"44","10138",0.0885516458871018
"45","10139",0.0929574159801893
"46","10143",0.0855893544209607
"47","10144",0.0222256251113959
"48","10150",-0.000113301482999345
"49","10152",-0.0631761496566128
"50","10154",-0.112318551614983
"51","10155",-0.121724209851292
"52","10157",-0.0846497327252884
"53","10159",-0.137017089267068
"54","20002",-0.00124729917652951
"55","20004",-0.0715185797688529
"56","20005",-0.0151765510492172
"57","20006",-0.101260338647126
"58","20012",-0.115805489186056
"59","20013",-0.122248955849299
"60","20017",-0.027322123013279
"61","20018",-0.154662610757649
"62","20025",0.0513265753779041
"63","20027",-0.140930364544853
"64","20028",0.0515296756876958
